F1	F2	F3	F4	time
0.000	0.000	0.000	0.000	0.008
0.000	0.000	0.000	0.000	0.019
0.000	0.000	0.000	0.000	0.022
0.000	0.000	0.000	0.000	0.030
0.000	0.000	0.000	0.000	0.033
0.000	0.000	0.000	0.000	0.041
0.000	0.000	0.000	0.000	0.050
0.000	0.000	0.000	0.000	0.056
0.000	0.000	0.000	0.000	0.063
0.000	0.000	0.000	0.000	0.066
0.000	0.000	0.000	0.000	0.074
0.000	0.000	0.000	0.000	0.083
0.000	0.000	0.000	0.000	0.086
0.000	0.000	0.000	0.000	0.097
0.000	0.000	0.000	0.000	0.100
0.000	0.000	0.000	0.000	0.108
0.000	0.000	0.000	0.000	0.117
0.000	0.000	0.000	0.000	0.120
0.000	0.000	0.000	0.000	0.128
0.000	0.000	0.000	0.000	0.131
0.000	0.000	0.000	0.000	0.142
0.000	0.000	0.000	0.000	0.145
0.000	0.000	0.000	0.000	0.154
0.000	0.000	0.000	0.000	0.160
0.000	0.000	0.000	0.000	0.166
0.000	0.000	0.000	0.000	0.172
0.000	0.000	0.000	0.000	0.178
0.000	0.000	0.000	0.000	0.185
0.000	0.000	0.000	0.000	0.194
0.000	0.000	0.000	0.000	0.197
0.000	0.000	0.000	0.000	0.205
0.000	0.000	0.000	0.000	0.211
0.000	0.000	0.000	0.000	0.217
0.000	0.000	0.000	0.000	0.226
0.000	0.000	0.000	0.000	0.232
0.000	0.000	0.000	0.000	0.238
0.000	0.000	0.000	0.000	0.244
0.000	0.000	0.000	0.000	0.250
0.000	0.000	0.000	0.000	0.259
0.000	0.000	0.000	0.000	0.263
0.000	0.000	0.000	0.000	0.273
0.000	0.000	0.000	0.000	0.276
0.000	0.000	0.000	0.000	0.284
0.000	0.000	0.000	0.000	0.287
0.000	0.000	0.000	0.000	0.295
0.000	0.000	0.000	0.000	0.304
0.000	0.000	0.000	0.000	0.310
0.000	0.000	0.000	0.000	0.316
0.000	0.000	0.000	0.000	0.322
0.000	0.000	0.000	0.000	0.328
0.000	0.000	0.000	0.000	0.337
0.000	0.000	0.000	0.000	0.341
0.000	0.000	0.000	0.000	0.348
0.000	0.000	0.000	0.000	0.354
0.000	0.000	0.000	0.000	0.361
0.000	0.000	0.000	0.000	0.369
0.000	0.000	0.000	0.000	0.375
0.000	0.000	0.000	0.000	0.381
0.000	0.000	0.000	0.000	0.385
0.000	0.000	0.000	0.000	0.395
0.000	0.000	0.000	0.000	0.401
0.000	0.000	0.000	0.000	0.405
0.000	0.000	0.000	0.000	0.415
0.000	0.000	0.000	0.000	0.419
0.000	0.000	0.000	0.000	0.426
0.000	0.000	0.000	0.000	0.435
0.000	0.000	0.000	0.000	0.438
0.000	0.000	0.000	0.000	0.446
0.000	0.000	0.000	0.000	0.450
0.000	0.000	0.000	0.000	0.460
0.000	0.000	0.000	0.000	0.463
0.000	0.000	0.000	0.000	0.471
0.000	0.000	0.000	0.000	0.480
0.000	0.000	0.000	0.000	0.483
0.000	0.000	0.000	0.000	0.491
0.000	0.000	0.000	0.000	0.497
0.000	0.000	0.000	0.000	0.506
0.000	0.000	0.000	0.000	0.513
0.000	0.000	0.000	0.000	0.516
0.000	0.000	0.000	0.000	0.524
0.000	0.000	0.000	0.000	0.528
0.000	0.000	0.000	0.000	0.538
0.000	0.000	0.000	0.000	0.547
0.000	0.000	0.000	0.000	0.550
0.000	0.000	0.000	0.000	0.558
0.000	0.000	0.000	0.000	0.561
0.000	0.000	0.000	0.000	0.569
0.000	0.000	0.000	0.000	0.578
0.000	0.000	0.000	0.000	0.584
0.000	0.000	0.000	0.000	0.591
0.000	0.000	0.000	0.000	0.594
0.000	0.000	0.000	0.000	0.602
0.000	0.000	0.000	0.000	0.606
0.000	0.000	0.000	0.000	0.616
0.000	0.000	0.000	0.000	0.622
0.000	0.000	0.000	0.000	0.628
0.000	0.000	0.000	0.000	0.635
0.000	0.000	0.000	0.000	0.641
0.000	0.000	0.000	0.000	0.647
0.000	0.000	0.000	0.000	0.656
0.000	0.000	0.000	0.000	0.659
0.000	0.000	0.000	0.000	0.670
0.000	0.000	0.000	0.000	0.673
0.000	0.000	0.000	0.000	0.681
0.000	0.000	0.000	0.000	0.690
0.000	0.000	0.000	0.000	0.693
0.000	0.000	0.000	0.000	0.701
0.000	0.000	0.000	0.000	0.704
0.000	0.000	0.000	0.000	0.713
0.000	0.000	0.000	0.000	0.722
0.000	0.000	0.000	0.000	0.725
0.000	0.000	0.000	0.000	0.734
0.000	0.000	0.000	0.000	0.737
