0
F1	F2	F3	F4	time
0.000	0.000	0.060	0.060	0.008
0.000	0.000	0.048	0.048	0.016
0.000	0.000	0.010	0.010	0.028
0.000	0.000	0.023	0.023	0.037
0.000	0.000	0.029	0.029	0.049
0.000	0.000	0.032	0.032	0.059
0.000	0.000	0.056	0.056	0.070
0.000	0.000	0.036	0.036	0.078
0.000	0.000	0.025	0.025	0.092
0.000	0.000	0.030	0.030	0.099
0.000	0.000	0.022	0.022	0.107
0.000	0.000	0.018	0.018	0.121
0.000	0.000	0.016	0.016	0.128
0.000	0.000	0.026	0.026	0.141
0.000	0.000	0.020	0.020	0.148
0.000	0.000	0.028	0.028	0.160
0.000	0.000	0.042	0.042	0.169
0.000	0.000	0.018	0.018	0.183
0.000	0.000	0.016	0.016	0.189
0.000	0.000	0.026	0.026	0.201
0.000	0.000	0.020	0.020	0.209
0.000	0.000	0.017	0.017	0.217
0.000	0.000	0.015	0.015	0.230
0.000	0.000	0.025	0.025	0.238
0.000	0.000	0.041	0.041	0.250
0.000	0.000	0.049	0.049	0.258
0.000	0.000	0.043	0.043	0.272
0.000	0.000	0.040	0.040	0.281
0.000	0.000	0.038	0.038	0.292
0.000	0.000	0.016	0.016	0.299
0.000	0.000	0.015	0.015	0.311
0.000	0.000	0.036	0.036	0.320
0.000	0.000	0.015	0.015	0.328
0.000	0.000	0.003	0.003	0.340
0.000	0.000	0.030	0.030	0.348
0.000	0.000	0.022	0.022	0.362
0.000	0.000	-0.003	-0.003	0.370
0.000	0.000	-0.006	-0.006	0.382
0.000	0.000	0.004	0.004	0.389
0.000	0.000	-0.013	-0.013	0.401
0.000	0.000	-0.032	-0.032	0.410
0.000	0.000	-0.010	-0.010	0.424
0.000	0.000	0.012	0.012	0.430
0.000	0.000	0.024	0.024	0.438
0.000	0.000	0.030	0.030	0.452
0.000	0.000	0.011	0.011	0.459
0.000	0.000	0.012	0.012	0.472
0.000	0.000	0.013	0.013	0.481
0.000	0.000	0.013	0.013	0.493
0.000	0.000	0.035	0.035	0.501
0.000	0.000	0.025	0.025	0.512
0.000	0.000	0.009	0.009	0.522
0.000	0.000	0.001	0.001	0.529
0.000	0.000	0.018	0.018	0.541
0.000	0.000	0.037	0.037	0.549
0.000	0.000	0.015	0.015	0.561
0.000	0.000	0.015	0.015	0.569
0.000	0.000	0.014	0.014	0.581
0.000	0.000	0.035	0.035	0.590
0.000	0.000	0.068	0.068	0.602
0.000	0.000	0.042	0.042	0.612
0.000	0.000	0.028	0.028	0.623
0.000	0.000	0.043	0.043	0.631
0.000	0.000	0.040	0.040	0.641
0.000	0.000	0.017	0.017	0.653
0.000	0.000	0.005	0.005	0.660
0.000	0.000	0.020	0.020	0.672
0.000	0.000	0.017	0.017	0.681
0.000	0.000	0.037	0.037	0.694
0.000	0.000	0.058	0.058	0.701
0.000	0.000	0.015	0.015	0.713
0.000	0.000	0.015	0.015	0.721
0.000	0.000	0.036	0.036	0.734
0.000	0.000	0.036	0.036	0.742
0.000	0.000	0.036	0.036	0.750
0.000	0.000	0.015	0.015	0.763
0.000	0.000	0.014	0.014	0.771
0.000	0.000	0.025	0.025	0.783
0.000	0.000	0.041	0.041	0.791
0.000	0.000	0.039	0.039	0.803
0.000	0.000	0.016	0.016	0.812
0.000	0.000	0.026	0.026	0.824
0.000	0.000	0.020	0.020	0.832
0.000	0.000	0.017	0.017	0.843
0.000	0.000	0.037	0.037	0.852
0.000	0.000	0.026	0.026	0.862
0.000	0.000	0.020	0.020	0.873
0.000	0.000	0.028	0.028	0.881
0.000	0.000	0.032	0.032	0.894
0.000	0.000	0.023	0.023	0.902
0.000	0.000	0.008	0.008	0.913
0.000	0.000	0.021	0.021	0.923
0.000	0.000	0.018	0.018	0.935
0.000	0.000	0.027	0.027	0.942
0.000	0.000	0.042	0.042	0.950
0.000	0.000	0.018	0.018	0.963
0.000	0.000	0.016	0.016	0.972
0.000	0.000	0.015	0.015	0.983
0.000	0.000	0.004	0.004	0.991
0.000	0.000	-0.002	-0.002	1.005
0.000	0.000	-0.005	-0.005	1.012
0.000	0.000	0.015	0.015	1.024
0.000	0.000	0.014	0.014	1.032
0.000	0.000	0.025	0.025	1.045
0.000	0.000	0.041	0.041	1.053
0.000	0.000	0.028	0.028	1.062
0.000	0.000	0.032	0.032	1.075
0.000	0.000	0.034	0.034	1.081
0.000	0.000	0.014	0.014	1.096
0.000	0.000	0.014	0.014	1.101
0.000	0.000	0.014	0.014	1.114
0.000	0.000	0.003	0.003	1.122
0.000	0.000	0.030	0.030	1.134
0.000	0.000	0.054	0.054	1.142
0.000	0.000	0.045	0.045	1.155
0.000	0.000	0.041	0.041	1.163
0.000	0.000	0.049	0.049	1.176
0.000	0.000	0.043	0.043	1.184
0.000	0.000	0.029	0.029	1.192
0.000	0.000	0.032	0.032	1.204
0.000	0.000	0.034	0.034	1.213
0.000	0.000	0.014	0.014	1.226
0.000	0.000	0.003	0.003	1.234
0.000	0.000	-0.002	-0.002	1.246
0.000	0.000	-0.016	-0.016	1.254
0.000	0.000	-0.012	-0.012	1.266
0.000	0.000	0.011	0.011	1.274
0.000	0.000	0.023	0.023	1.282
0.000	0.000	0.008	0.008	1.295
0.000	0.000	0.011	0.011	1.303
0.000	0.000	0.012	0.012	1.316
0.000	0.000	0.013	0.013	1.325
0.000	0.000	0.024	0.024	1.336
0.000	0.000	-0.002	-0.002	1.344
0.000	0.000	0.005	0.005	1.356
0.000	0.000	0.020	0.020	1.365
0.000	0.000	0.017	0.017	1.377
0.000	0.000	0.037	0.037	1.386
0.000	0.000	0.026	0.026	1.393
0.000	0.000	0.020	0.020	1.405
0.000	0.000	0.017	0.017	1.414
0.000	0.000	0.015	0.015	1.428
0.000	0.000	0.025	0.025	1.434
0.000	0.000	-0.002	-0.002	1.448
0.000	0.000	0.006	0.006	1.456
0.000	0.000	0.020	0.020	1.467
0.000	0.000	0.017	0.017	1.474
0.000	0.000	0.026	0.026	1.482
0.000	0.000	0.010	0.010	1.495
0.000	0.000	0.001	0.001	1.503
0.000	0.000	0.007	0.007	1.516
0.000	0.000	0.021	0.021	1.524
0.000	0.000	0.018	0.018	1.536
0.000	0.000	0.005	0.005	1.545
0.000	0.000	0.009	0.009	1.558
0.000	0.000	-0.010	-0.010	1.565
0.000	0.000	0.001	0.001	1.577
0.000	0.000	0.029	0.029	1.585
0.000	0.000	0.000	0.000	1.595
0.000	0.000	-0.004	-0.004	1.606
0.000	0.000	0.015	0.015	1.616
0.000	0.000	0.025	0.025	1.628
0.000	0.000	0.041	0.041	1.635
0.000	0.000	0.039	0.039	1.647
0.000	0.000	0.027	0.027	1.656
0.000	0.000	0.010	0.010	1.668
0.000	0.000	0.022	0.022	1.677
0.000	0.000	0.050	0.050	1.688
0.000	0.000	0.022	0.022	1.696
0.000	0.000	0.007	0.007	1.706
0.000	0.000	0.010	0.010	1.716
0.000	0.000	0.023	0.023	1.725
0.000	0.000	0.040	0.040	1.738
0.000	0.000	0.017	0.017	1.745
0.000	0.000	0.005	0.005	1.759
0.000	0.000	0.020	0.020	1.766
0.000	0.000	0.038	0.038	1.779
0.000	0.000	0.037	0.037	1.788
0.000	0.000	0.026	0.026	1.800
0.000	0.000	0.031	0.031	1.808
0.000	0.000	0.033	0.033	1.819
0.000	0.000	0.045	0.045	1.829
0.000	0.000	0.062	0.062	1.836
0.000	0.000	0.039	0.039	1.849
0.000	0.000	0.027	0.027	1.856
0.000	0.000	0.031	0.031	1.868
0.000	0.000	0.044	0.044	1.876
0.000	0.000	0.051	0.051	1.889
0.000	0.000	0.033	0.033	1.896
0.000	0.000	0.035	0.035	1.908
0.000	0.000	0.025	0.025	1.918
0.000	0.000	0.030	0.030	1.927
0.000	0.000	0.044	0.044	1.938
0.000	0.000	0.029	0.029	1.948
0.000	0.000	0.033	0.033	1.958
0.000	0.000	0.024	0.024	1.968
0.000	0.000	0.008	0.008	1.980
0.000	0.000	0.022	0.022	1.987
0.000	0.000	0.018	0.018	2.001
0.000	0.000	-0.016	-0.016	2.009
0.000	0.000	-0.013	-0.013	2.020
0.000	0.000	0.021	0.021	2.028
0.000	0.000	0.039	0.039	2.038
0.000	0.000	0.038	0.038	2.049
0.000	0.000	0.037	0.037	2.057
0.000	0.000	0.037	0.037	2.070
0.000	0.000	0.026	0.026	2.077
0.000	0.000	0.020	0.020	2.090
0.000	0.000	0.006	0.006	2.097
0.000	0.000	-0.001	-0.001	2.109
0.000	0.000	0.006	0.006	2.117
0.000	0.000	-0.001	-0.001	2.130
0.000	0.000	-0.005	-0.005	2.139
0.000	0.000	0.004	0.004	2.147
0.000	0.000	0.009	0.009	2.158
0.000	0.000	0.000	0.000	2.167
0.000	0.000	-0.004	-0.004	2.180
0.000	0.000	-0.006	-0.006	2.188
0.000	0.000	-0.029	-0.029	2.199
0.000	0.000	-0.008	-0.008	2.208
0.000	0.000	0.034	0.034	2.222
0.000	0.000	0.046	0.046	2.228
0.000	0.000	0.052	0.052	2.239
0.000	0.000	0.044	0.044	2.250
0.000	0.000	0.030	0.030	2.257
0.000	0.000	0.022	0.022	2.271
0.000	0.000	0.007	0.007	2.277
0.000	0.000	0.010	0.010	2.290
0.000	0.000	0.012	0.012	2.298
0.000	0.000	0.024	0.024	2.311
0.000	0.000	0.040	0.040	2.318
0.000	0.000	0.028	0.028	2.328
0.000	0.000	0.042	0.042	2.340
0.000	0.000	0.039	0.039	2.348
0.000	0.000	0.016	0.016	2.359
0.000	0.000	0.026	0.026	2.368
0.000	0.000	0.031	0.031	2.380
0.000	0.000	0.033	0.033	2.390
0.000	0.000	0.045	0.045	2.402
0.000	0.000	0.084	0.084	2.408
0.000	0.000	0.082	0.082	2.422
0.000	0.000	0.028	0.028	2.429
0.000	0.000	0.032	0.032	2.437
0.000	0.000	0.045	0.045	2.449
0.000	0.000	0.041	0.041	2.459
0.000	0.000	0.038	0.038	2.470
0.000	0.000	0.016	0.016	2.480
0.000	0.000	0.015	0.015	2.490
0.000	0.000	0.025	0.025	2.500
0.000	0.000	0.030	0.030	2.512
0.000	0.000	0.033	0.033	2.521
0.000	0.000	0.013	0.013	2.533
0.000	0.000	0.003	0.003	2.540
0.000	0.000	-0.003	-0.003	2.552
0.000	0.000	0.037	0.037	2.560
0.000	0.000	0.079	0.079	2.569
0.000	0.000	0.048	0.048	2.581
0.000	0.000	0.032	0.032	2.590
0.000	0.000	0.023	0.023	2.602
0.000	0.000	0.008	0.008	2.609
0.000	0.000	0.011	0.011	2.621
0.000	0.000	0.012	0.012	2.630
0.000	0.000	0.013	0.013	2.644
0.000	0.000	0.013	0.013	2.652
0.000	0.000	0.024	0.024	2.659
0.000	0.000	0.041	0.041	2.672
0.000	0.000	0.038	0.038	2.679
0.000	0.000	0.027	0.027	2.692
0.000	0.000	0.020	0.020	2.699
0.000	0.000	0.039	0.039	2.713
0.000	0.000	0.048	0.048	2.721
0.000	0.000	0.021	0.021	2.732
0.000	0.000	0.007	0.007	2.740
0.000	0.000	0.021	0.021	2.752
0.000	0.000	0.039	0.039	2.761
0.000	0.000	0.016	0.016	2.769
0.000	0.000	-0.006	-0.006	2.783
0.000	0.000	0.003	0.003	2.789
0.000	0.000	-0.002	-0.002	2.802
0.000	0.000	0.016	0.016	2.810
0.000	0.000	0.036	0.036	2.823
0.000	0.000	0.004	0.004	2.830
0.000	0.000	-0.002	-0.002	2.843
0.000	0.000	-0.016	-0.016	2.851
0.000	0.000	-0.023	-0.023	2.863
0.000	0.000	0.027	0.027	2.873
0.000	0.000	0.031	0.031	2.881
0.000	0.000	0.012	0.012	2.892
0.000	0.000	0.024	0.024	2.902
0.000	0.000	0.051	0.051	2.912
0.000	0.000	0.033	0.033	2.921
0.000	0.000	0.003	0.003	2.933
0.000	0.000	0.019	0.019	2.943
0.000	0.000	0.016	0.016	2.953
0.000	0.000	0.026	0.026	2.961
0.000	0.000	0.052	0.052	2.970
0.000	0.000	0.044	0.044	2.982
0.000	0.000	0.040	0.040	2.990
0.000	0.000	0.038	0.038	3.004
0.000	0.000	0.037	0.037	3.012
0.000	0.000	0.037	0.037	3.023
0.000	0.000	0.004	0.004	3.033
0.000	0.000	-0.002	-0.002	3.044
0.000	0.000	0.016	0.016	3.052
0.000	0.000	0.036	0.036	3.064
0.000	0.000	0.036	0.036	3.074
0.000	0.000	-0.007	-0.007	3.085
0.000	0.000	0.003	0.003	3.094
0.000	0.000	0.030	0.030	3.101
0.000	0.000	0.022	0.022	3.114
0.000	0.000	0.029	0.029	3.122
0.000	0.000	0.022	0.022	3.134
0.000	0.000	0.018	0.018	3.141
0.000	0.000	0.027	0.027	3.156
0.000	0.000	0.020	0.020	3.164
0.000	0.000	0.017	0.017	3.175
0.000	0.000	0.016	0.016	3.183
0.000	0.000	0.025	0.025	3.193
0.000	0.000	0.031	0.031	3.203
0.000	0.000	0.055	0.055	3.211
0.000	0.000	0.067	0.067	3.224
0.000	0.000	0.020	0.020	3.232
0.000	0.000	0.028	0.028	3.245
0.000	0.000	0.042	0.042	3.252
0.000	0.000	0.029	0.029	3.265
0.000	0.000	0.043	0.043	3.273
0.000	0.000	0.040	0.040	3.283
0.000	0.000	0.027	0.027	3.293
0.000	0.000	0.021	0.021	3.301
0.000	0.000	0.060	0.060	3.313
0.000	0.000	0.091	0.091	3.322
0.000	0.000	0.065	0.065	3.336
0.000	0.000	0.051	0.051	3.344
0.000	0.000	0.033	0.033	3.355
0.000	0.000	0.035	0.035	3.363
0.000	0.000	0.057	0.057	3.375
0.000	0.000	0.036	0.036	3.383
0.000	0.000	0.025	0.025	3.393
0.000	0.000	0.031	0.031	3.403
0.000	0.000	0.033	0.033	3.412
0.000	0.000	0.024	0.024	3.424
0.000	0.000	0.019	0.019	3.433
0.000	0.000	0.038	0.038	3.446
0.000	0.000	0.016	0.016	3.453
0.000	0.000	0.025	0.025	3.466
0.000	0.000	0.052	0.052	3.476
0.000	0.000	0.012	0.012	3.488
0.000	0.000	0.013	0.013	3.494
0.000	0.000	0.035	0.035	3.503
0.000	0.000	0.035	0.035	3.515
0.000	0.000	0.036	0.036	3.523
0.000	0.000	0.025	0.025	3.536
0.000	0.000	0.030	0.030	3.543
0.000	0.000	0.033	0.033	3.557
0.000	0.000	0.035	0.035	3.565
0.000	0.000	0.035	0.035	3.576
0.000	0.000	0.025	0.025	3.584
0.000	0.000	0.030	0.030	3.597
0.000	0.000	0.022	0.022	3.605
0.000	0.000	0.018	0.018	3.613
0.000	0.000	0.037	0.037	3.625
0.000	0.000	0.015	0.015	3.634
0.000	0.000	-0.007	-0.007	3.646
0.000	0.000	0.024	0.024	3.656
0.000	0.000	0.030	0.030	3.668
0.000	0.000	-0.010	-0.010	3.675
0.000	0.000	-0.020	-0.020	3.687
0.000	0.000	-0.004	-0.004	3.695
0.000	0.000	-0.006	-0.006	3.707
0.000	0.000	-0.007	-0.007	3.715
0.000	0.000	-0.008	-0.008	3.727
0.000	0.000	-0.008	-0.008	3.736
0.000	0.000	0.002	0.002	3.744
0.000	0.000	0.008	0.008	3.756
0.000	0.000	-0.000	-0.000	3.764
0.000	0.000	-0.004	-0.004	3.778
0.000	0.000	0.015	0.015	3.785
0.000	0.000	0.025	0.025	3.797
0.000	0.000	0.020	0.020	3.805
0.000	0.000	0.017	0.017	3.815
0.000	0.000	0.015	0.015	3.825
0.000	0.000	-0.007	-0.007	3.834
0.000	0.000	-0.008	-0.008	3.846
0.000	0.000	0.013	0.013	3.856
0.000	0.000	-0.018	-0.018	3.866
0.000	0.000	-0.024	-0.024	3.875
0.000	0.000	-0.017	-0.017	3.887
0.000	0.000	-0.034	-0.034	3.895
0.000	0.000	-0.022	-0.022	3.907
0.000	0.000	-0.037	-0.037	3.917
0.000	0.000	-0.066	-0.066	3.930
0.000	0.000	-0.071	-0.071	3.937
0.000	0.000	-0.052	-0.052	3.944
0.000	0.000	-0.042	-0.042	3.956
0.000	0.000	-0.058	-0.058	3.967
0.000	0.000	-0.066	-0.066	3.977
0.000	0.000	-0.103	-0.103	3.985
0.000	0.000	-0.122	-0.122	3.997
