0
F1	F2	F3	F4	time
0.000	0.000	-0.004	0.000	0.091
0.000	0.000	0.014	0.000	0.102
0.000	0.000	0.023	0.000	0.110
0.000	0.000	0.006	0.000	0.123
0.000	0.000	-0.006	0.000	0.131
0.000	0.000	-0.005	0.000	0.144
0.000	0.000	0.004	0.000	0.151
0.000	0.000	0.025	0.000	0.164
0.000	0.000	0.015	0.000	0.171
0.000	0.000	-0.016	0.000	0.180
0.000	0.000	-0.020	0.000	0.192
0.000	0.000	-0.014	0.000	0.200
0.000	0.000	-0.010	0.000	0.214
0.000	0.000	-0.016	0.000	0.221
0.000	0.000	-0.028	0.000	0.233
0.000	0.000	-0.027	0.000	0.242
0.000	0.000	-0.019	0.000	0.255
0.000	0.000	-0.013	0.000	0.263
0.000	0.000	-0.026	0.000	0.270
0.000	0.000	-0.034	0.000	0.283
0.000	0.000	-0.031	0.000	0.292
0.000	0.000	-0.021	0.000	0.303
0.000	0.000	0.001	0.000	0.313
0.000	0.000	-0.000	0.000	0.323
0.000	0.000	-0.018	0.000	0.332
0.000	0.000	-0.013	0.000	0.345
0.000	0.000	-0.009	0.000	0.352
0.000	0.000	-0.007	0.000	0.361
0.000	0.000	-0.014	0.000	0.372
0.000	0.000	-0.026	0.000	0.380
0.000	0.000	-0.026	0.000	0.395
0.000	0.000	-0.034	0.000	0.403
0.000	0.000	-0.023	0.000	0.415
0.000	0.000	-0.008	0.000	0.422
0.000	0.000	-0.014	0.000	0.434
0.000	0.000	-0.019	0.000	0.442
0.000	0.000	-0.013	0.000	0.455
0.000	0.000	0.006	0.000	0.465
0.000	0.000	0.011	0.000	0.475
0.000	0.000	-0.002	0.000	0.485
0.000	0.000	-0.003	0.000	0.493
0.000	0.000	0.005	0.000	0.505
0.000	0.000	0.018	0.000	0.512
0.000	0.000	0.010	0.000	0.524
0.000	0.000	-0.011	0.000	0.533
0.000	0.000	-0.016	0.000	0.547
0.000	0.000	-0.004	0.000	0.555
0.000	0.000	0.021	0.000	0.565
0.000	0.000	0.012	0.000	0.573
0.000	0.000	-0.018	0.000	0.587
0.000	0.000	-0.021	0.000	0.596
0.000	0.000	0.002	0.000	0.604
0.000	0.000	0.016	0.000	0.614
0.000	0.000	0.001	0.000	0.622
0.000	0.000	-0.017	0.000	0.635
0.000	0.000	-0.012	0.000	0.645
0.000	0.000	-0.001	0.000	0.655
0.000	0.000	0.006	0.000	0.663
0.000	0.000	-0.005	0.000	0.676
0.000	0.000	-0.021	0.000	0.685
0.000	0.000	-0.015	0.000	0.696
0.000	0.000	-0.003	0.000	0.704
0.000	0.000	-0.003	0.000	0.712
0.000	0.000	-0.019	0.000	0.725
0.000	0.000	-0.030	0.000	0.733
0.000	0.000	-0.028	0.000	0.746
0.000	0.000	-0.011	0.000	0.754
0.000	0.000	-0.009	0.000	0.766
0.000	0.000	-0.031	0.000	0.776
0.000	0.000	-0.029	0.000	0.786
0.000	0.000	-0.012	0.000	0.794
0.000	0.000	-0.017	0.000	0.803
0.000	0.000	-0.036	0.000	0.815
0.000	0.000	-0.041	0.000	0.823
0.000	0.000	-0.035	0.000	0.835
0.000	0.000	-0.024	0.000	0.843
0.001	0.001	-0.008	0.000	0.856
0.001	0.001	-0.007	0.000	0.864
0.002	0.002	-0.022	0.000	0.876
0.002	0.002	-0.031	0.000	0.884
0.002	0.002	-0.021	0.000	0.897
0.002	0.002	-0.007	0.000	0.905
